编号,关节名,轴方向 (MuJoCo),角度范围 (rad),角度范围 (°),,电机型号
J00,HIP\_PITCH\_L,"(0, 0.966, -0.259)","\[-3.141, 2.443]","\[-180°, 140°]",,Q90
J01,HIP\_ROLL\_L,"(1, 0, 0)","\[-0.436, 2.094]","\[-25°, 120°]",,Q90
J02,HIP\_YAW\_L,"(0, 0, 1)","\[-1.57, 4.014]","\[-90°, 230°]",,Q25
J03,KNEE\_PITCH\_L,"(0, 1, 0)","\[-0.349, 2.391]","\[-20°, 137°]",,Q90
J04,ANKLE\_PITCH\_L,"(0, 1, 0)","\[-0.681, 0.724]","\[-39°, 41.5°]",,Q25
J05,ANKLE\_ROLL\_L,"(1, 0, 0)","\[-0.262, 0.262]","\[-15°, 15°]",,Q25
J06,HIP\_PITCH\_R,"(0, 0.966, 0.259)","\[-3.141, 2.443]","\[-180°, 140°]",,Q90
J07,HIP\_ROLL\_R,"(1, 0, 0)","\[-2.094, 0.436]","\[-120°, 25°]",,Q90
J08,HIP\_YAW\_R,"(0, 0, 1)","\[-4.014, 1.57]","\[-230°, 90°]",,Q25
J09,KNEE\_PITCH\_R,"(0, 1, 0)","\[-0.349, 2.391]","\[-20°, 137°]",,Q90
J10,ANKLE\_PITCH\_R,"(0, 1, 0)","\[-0.681, 0.724]","\[-39°, 41.5°]",,Q25
J11,ANKLE\_ROLL\_R,"(1, 0, 0)","\[-0.262, 0.262]","\[-15°, 15°]",,Q25
J12,WAIST\_YAW,"(0, 0, 1)","\[-4.014, 1.57]","\[-230°, 90°]",,Q25
J13,SHOULDER\_PITCH\_L,"(0, 0.998, 0.063)","\[-2.967, 2.793]","\[-170°, 160°]",,Q25
J14,SHOULDER\_ROLL\_L,"(1, 0, 0)","\[-0.611, 2.356]","\[-35°, 135°]",,Q25
J15,SHOULDER\_YAW\_L,"(0, -0.063, 0.998)","\[-2.618, 2.618]","\[-150°, 150°]",,Q25
J16,ELBOW\_PITCH\_L,"(0.003, 0.998, 0.063)","\[-2.195, 0.737]","\[-126°, 42°]",,Q25
J17,ELBOW\_YAW\_L,"(-0.215, -0.062, 0.975)","\[-2.618, 2.618]","\[-150°, 150°]",,Q25
J18,SHOULDER\_PITCH\_R,"(0, 0.998, -0.063)","\[-2.967, 2.793]","\[-170°, 160°]",,Q25
J19,SHOULDER\_ROLL\_R,"(1, 0, 0)","\[-2.356, 0.611]","\[-135°, 35°]",,Q25
J20,SHOULDER\_YAW\_R,"(0, 0.063, 0.998)","\[-2.618, 2.618]","\[-150°, 150°]",,Q25
J21,ELBOW\_PITCH\_R,"(0.003, 0.998, -0.063)","\[-2.195, 0.737]","\[-126°, 42°]",,Q25
J22,ELBOW\_YAW\_R,"(-0.215, 0.062, 0.975)","\[-2.618, 2.618]","\[-150°, 150°]",,Q25
J23,HEAD\_YAW,"(0, 0, 1)","\[-0.611, 0.611]","\[-35°, 35°]",,Q25
